pair,price_change_pct,quote_volume,symbol
LAB/USDT:USDT,-72.37912876974629,1577940305.0271993,LABUSDT
POWER/USDT:USDT,49.4421768707483,50182158.45383999,POWERUSDT
TAC/USDT:USDT,-44.44444444444444,83114340.17408898,TACUSDT
HMSTR/USDT:USDT,-24.668339906776616,40041406.9989262,HMSTRUSDT
GRASS/USDT:USDT,-23.690022083918894,28771642.28009001,GRASSUSDT
UB/USDT:USDT,-18.46909362656134,11874643.557610001,UBUSDT
STAR/USDT:USDT,-18.214203631349125,1598043.6461599995,STARUSDT
USELESS/USDT:USDT,-15.951812233876828,9210552.264879996,USELESSUSDT
GWEI/USDT:USDT,-15.211267605633793,20384083.002586003,GWEIUSDT
ESPORTS/USDT:USDT,-14.660831509846838,16383995.657010006,ESPORTSUSDT
JTO/USDT:USDT,-13.592750533049037,48751870.4941,JTOUSDT
SCRT/USDT:USDT,-13.09967141292444,7577812.40115,SCRTUSDT
UAI/USDT:USDT,13.015427769985966,33506752.73950001,UAIUSDT
VANRY/USDT:USDT,13.000471031559124,127495992.89291498,VANRYUSDT
XPL/USDT:USDT,-12.926339925480079,39082980.69563998,XPLUSDT
SIREN/USDT:USDT,-12.621359223300976,15140885.584980013,SIRENUSDT
HEI/USDT:USDT,12.008674437516941,13334162.569087993,HEIUSDT
ARX/USDT:USDT,-11.813320369470093,46723887.53050002,ARXUSDT
FARTCOIN/USDT:USDT,-11.68594035301278,33174076.101329982,FARTCOINUSDT
MYX/USDT:USDT,-11.668928086838527,11066247.025779996,MYXUSDT
ETHFI/USDT:USDT,-11.355893708834897,26525830.08138001,ETHFIUSDT
APE/USDT:USDT,11.173974540311171,22057487.7525,APEUSDT
MON/USDT:USDT,-10.98602484472051,17165204.539520007,MONUSDT
JUP/USDT:USDT,-10.789582472095915,19189872.504299987,JUPUSDT
LUMIA/USDT:USDT,-10.232658336923727,1982932.7091650001,LUMIAUSDT
BSB/USDT:USDT,-9.788464065168833,13818791.091830008,BSBUSDT
VELVET/USDT:USDT,9.737532808398953,29736767.216669995,VELVETUSDT
AERO/USDT:USDT,-9.656468979661593,15107460.173259988,AEROUSDT
FLNC/USDT:USDT,-9.480122324159023,10986327.612999994,FLNCUSDT
0G/USDT:USDT,-9.355307804168689,5619851.465699998,0GUSDT
CHIP/USDT:USDT,-9.29388780351661,25895396.868360005,CHIPUSDT
NEAR/USDT:USDT,-9.11736178467506,140894690.61599994,NEARUSDT
EDGE/USDT:USDT,8.682483594144363,384951420.4605998,EDGEUSDT
ATH/USDT:USDT,-8.628659476117107,2540781.116265,ATHUSDT
BE/USDT:USDT,-8.618494945713218,20626100.669999998,BEUSDT
RAYSOL/USDT:USDT,-8.370763576970186,1939848.9790699992,RAYSOLUSDT
KAITO/USDT:USDT,8.285479901558656,111949481.28899992,KAITOUSDT
PENGU/USDT:USDT,-8.240768537976583,25869249.788718987,PENGUUSDT
EPIC/USDT:USDT,8.134785568413871,32762088.54813999,EPICUSDT
DEEP/USDT:USDT,-8.02139037433156,1257335.6930700003,DEEPUSDT
HYPER/USDT:USDT,-7.815742149674909,4532086.192180002,HYPERUSDT
DASH/USDT:USDT,-7.781995661605223,19910805.282250002,DASHUSDT
WIF/USDT:USDT,-7.778432527990564,18488923.688780006,WIFUSDT
AGT/USDT:USDT,-7.7414834924249165,1704770.8028370005,AGTUSDT
OPEN/USDT:USDT,-7.7022653721682826,3676128.4042000007,OPENUSDT
LIT/USDT:USDT,-7.689901872629889,68785928.12642999,LITUSDT
ZEC/USDT:USDT,-7.622754491017969,618762317.2597898,ZECUSDT
GOAT/USDT:USDT,-7.601935038009677,1167504.5970299994,GOATUSDT
POPCAT/USDT:USDT,-7.591030652129193,1907888.7161399988,POPCATUSDT
BIRB/USDT:USDT,-7.585782428065857,5822504.415279997,BIRBUSDT
MOVE/USDT:USDT,-7.558139534883734,3978756.58607,MOVEUSDT
BLUAI/USDT:USDT,7.443946188340789,5523644.859296,BLUAIUSDT
